rank,단어,품사,리뷰 등장 횟수
1,의자,명사,2187
2,조립,명사,1577
3,배송,명사,1228
4,색상,명사,861
5,가격,명사,1185
6,소파,명사,563
7,집,명사,556
8,디자인,명사,533
9,발,명사,492
10,리뷰,명사,461
11,조절기능,명사,611
12,느낌,명사,410
13,폭,명사,301
14,스툴,명사,289
15,책,명사,260
16,허리,명사,249
17,커버,명사,243
18,세탁,명사,240
19,그레이,명사,237
20,냄새,명사,235
21,베란다,명사,194
24,침대,명사,185
25,크기,명사,182
26,방,명사,180
27,바닥,명사,179
28,높이,명사,164
29,인테리어,명사,160
30,카키,명사,160
31,잠,명사,156
32,나사,명사,154
33,설명,명사,152
34,티비,명사,152
35,사이즈,명사,151
36,선물,명사,147
37,설치,명사,140
38,엉덩이,명사,132
39,목,명사,130
40,거실,명사,129
41,천,명사,125
42,분위기,명사,124
43,키,명사,122
45,여름,명사,119
46,머리,명사,113
47,수유,명사,111
48,고양이,명사,107
49,남편,명사,105
50,아이,명사,105